question_id,option_id,option_label,is_missing
2024-122_a_1,1,Yes,false
2024-122_a_1,2,No,false
2024-122_a_1,3,Not sure,false
2024-122_a_10,1,Yes,false
2024-122_a_10,2,No,false
2024-122_a_10,3,Not Sure,false
2024-122_a_11,1,No,false
2024-122_a_11,2,"Yes, Adjustable Gastric Band (LAP-Band surgery)",false
2024-122_a_11,3,"Yes, Biliopancreatic Diversion with Duodenal Switch",false
2024-122_a_11,4,"Yes, Gastric Bypass",false
2024-122_a_11,5,"Yes, Gastric Sleeve",false
2024-122_a_12,1,Never,false
2024-122_a_12,2,Unlikely,false
2024-122_a_12,3,Neutral,false
2024-122_a_12,4,Somewhat likely,false
2024-122_a_12,5,Definitely,false
2024-122_a_13,1,Not applicable; I did not have braces when I was between 9-26 years old.,false
2024-122_a_13,3,"Yes, the orthodontist or orthodontist assistant provided health information on vaccinations for young people.",false
2024-122_a_13,4,"Yes, the orthodontist or orthodontist assistant provided health education on eating healthy.",false
2024-122_a_13,5,"No, the orthodontist or orthodontist assistant did NOT provide general health education for young people.",false
2024-122_a_14,1,Yes,false
2024-122_a_14,2,Not yet but I anticipate needing it in the next 12 months,false
2024-122_a_14,3,No,false
2024-122_a_15,1,Less than $100,false
2024-122_a_15,2,At least $100 but less than $500,false
2024-122_a_15,3,At least $500 but less than $1000,false
2024-122_a_15,4,At least $1000 but less than $2500,false
2024-122_a_15,5,At least $2500 but less than $5000,false
2024-122_a_15,6,At least $5000 but less than $9000,false
2024-122_a_15,7,$9000 or more,false
2024-122_a_16,1,Significantly,false
2024-122_a_16,2,Somewhat,false
2024-122_a_16,3,Not at all,false
2024-122_a_16,4,Unsure,false
2024-122_a_17,1,1,false
2024-122_a_17,2,2,false
2024-122_a_17,3,3,false
2024-122_a_17,4,4,false
2024-122_a_17,5,5,false
2024-122_a_18,1,Strongly disagree,false
2024-122_a_18,2,Disagree,false
2024-122_a_18,3,Neither disagree nor agree,false
2024-122_a_18,4,Agree,false
2024-122_a_18,5,Strongly agree,false
2024-122_a_18,6,I do not have a primary/family doctor,false
2024-122_a_19,1,Strongly Disagree,false
2024-122_a_19,2,Disagree,false
2024-122_a_19,3,Neither Disagree nor Agree,false
2024-122_a_19,4,Agree,false
2024-122_a_19,5,Strongly Agree,false
2024-122_a_19,6,I do not have a primary care or family doctor,false
2024-122_a_2,1,Yes,false
2024-122_a_2,2,No,false
2024-122_a_20,1,Strongly agree,false
2024-122_a_20,2,Agree,false
2024-122_a_20,3,Neither agree or disagree,false
2024-122_a_20,4,Disagree,false
2024-122_a_20,5,Strongly disagree,false
2024-122_a_20,6,I don’t have a primary care/family doctor,false
2024-122_a_21,1,"Yes, only to me",false
2024-122_a_21,2,"Yes, only to my child",false
2024-122_a_21,3,"Yes, to both me and my child",false
2024-122_a_21,4,No,false
